Product Name,Year Month,Warehouse Inventory,Inventory Cost Per Unit,Storage Cost
Perfect Fitness Perfect Rip Deck,201712,0,0.69517,0.0
Nike Men's Dri-FIT Victory Golf Polo,201712,2,1.29291,2.58582
O'Brien Men's Neoprene Life Vest,201712,0,0.56531,0.0
Nike Men's Free 5.0+ Running Shoe,201712,1,1.26321,1.26321
Under Armour Girls' Toddler Spine Surge Runni,201712,0,1.47648,0.0
Nike Men's CJ Elite 2 TD Football Cleat,201712,0,0.69591,0.0
Field & Stream Sportsman 16 Gun Fire Safe,201712,0,1.39148,0.0
Pelican Sunstream 100 Kayak,201712,0,0.20291,0.0
Diamondback Women's Serene Classic Comfort Bi,201712,0,1.54601,0.0
ENO Atlas Hammock Straps,201712,0,0.48119,0.0
Nike Men's Comfort 2 Slide,201712,0,1.96183,0.0
adidas Youth Germany Black/Red Away Match Soc,201712,0,2.07809,0.0
Team Golf St. Louis Cardinals Putter Grip,201712,0,0.6607,0.0
LIJA Women's Eyelet Sleeveless Golf Polo,201712,0,1.50903,0.0
adidas Men's F10 Messi TRX FG Soccer Cleat,201712,0,1.66425,0.0
Glove It Women's Imperial Golf Glove,201712,0,1.56399,0.0
Glove It Imperial Golf Towel,201712,0,2.24724,0.0
Bridgestone e6 Straight Distance NFL Carolina,201712,0,1.06684,0.0
Glove It Women's Mod Oval 3-Zip Carry All Gol,201712,2,2.16158,4.32316
Columbia Men's PFG Anchor Tough T-Shirt,201712,0,0.47667,0.0
Under Armour Women's Ignite Slide,201712,2,1.00809,2.01618
Team Golf Tennessee Volunteers Putter Grip,201712,0,0.35118,0.0
Titleist Pro V1x High Numbers Personalized Go,201712,0,0.75101,0.0
Nike Men's Deutschland Weltmeister Winners Bl,201712,0,1.00566,0.0
Bridgestone e6 Straight Distance NFL San Dieg,201712,0,0.20643,0.0
Nike Women's Tempo Shorts,201712,0,1.62777,0.0
Team Golf Texas Longhorns Putter Grip,201712,2,2.24605,4.4921
Hirzl Women's Soffft Flex Golf Glove,201712,0,0.5795,0.0
Clicgear 8.0 Shoe Brush,201712,0,1.39674,0.0
Hirzl Women's Hybrid Golf Glove,201712,0,1.06069,0.0
Team Golf Pittsburgh Steelers Putter Grip,201712,0,0.43135,0.0
Top Flite Women's 2017 XL Hybrid,201712,0,0.55428,0.0
Glove It Urban Brick Golf Towel,201712,0,0.70054,0.0
Nike Dri-FIT Crew Sock 6 Pack,201712,0,1.5948,0.0
TYR Boys' Team Digi Jammer,201712,0,0.63609,0.0
Team Golf San Francisco Giants Putter Grip,201712,0,1.88895,0.0
Clicgear Rovic Cooler Bag,201712,0,1.29098,0.0
Hirzl Men's Hybrid Golf Glove,201712,0,1.06017,0.0
Titleist Pro V1x Golf Balls,201712,0,0.24553,0.0
adidas Men's Germany Black Crest Away Tee,201712,0,1.27932,0.0
Titleist Pro V1 High Numbers Personalized Gol,201712,0,0.94013,0.0
Under Armour Women's Micro G Skulpt Running S,201712,0,2.31993,0.0
Under Armour Hustle Storm Medium Duffle Bag,201712,1,1.0308,1.0308
Under Armour Women's Ignite PIP VI Slide,201712,0,1.88977,0.0
Bag Boy Beverage Holder,201712,0,0.73373,0.0
Under Armour Men's Tech II T-Shirt,201712,0,0.88756,0.0
Team Golf New England Patriots Putter Grip,201712,0,1.88503,0.0
Under Armour Men's Compression EV SL Slide,201712,0,0.77155,0.0
Bridgestone e6 Straight Distance NFL Tennesse,201712,0,0.83715,0.0
Glove It Women's Mod Oval Golf Glove,201712,0,0.79216,0.0
Titleist Pro V1x High Numbers Golf Balls,201712,0,0.4519,0.0
Nike Women's Legend V-Neck T-Shirt,201712,0,1.72672,0.0
